ID;TITULO;CUERPO;TEMA;FECHA PUBLICACION;URL;EDITORIAL;ETIQUETA;;
1;Viéndonos, Petro y Uribe debe estar muertos de la risa;"Humberto de la Calle, actual cabeza de lista al senado por la Coalición Centro Esperanza, elevó una consulta ante el Consejo Nacional Electoral (CNE) para aclarar si incurriría en doble militancia en medio de su campaña. 
Esto debido a que De la calle posee el aval del partido Verde Oxígeno, el cual ya no hace parte de dicha coalición luego de la salida de Ingrid Betancourt. El exnegociador de los acuerdos de paz habló con EL TIEMPO sobre sus inquietudes y críticas en este inédito escenario.
Con la salida de Ingrid Betancourt, ¿usted sigue siendo el candidato al Senado de la Coalición?
Hay un tema político y una jurídico. Lo político es que hace dos años empezamos a construir esta alianza que lo que buscaba evitar los extremismos de izquierda y de derecha y organizar una alianza fuerte de centro que se traducía en una consulta popular. Lo ideal es que las diferencias las hubiéramos discutido y aclarado dentro de la coalición. En cuanto al tema jurídico, hay unas normas que dicen que alguien que es candidato de un partido no puede apoyar a otros partidos. Se llama la prohibición de la doble militancia. Hay personas que les han anulado su credencial por esto. Decidí consultarle al Consejo Nacional Electoral (CNE) para que establezca de qué manera eso está vigente y de qué manera me impediría cumplir mi juramento, que fue el de apoyar a quien gane la consulta de la coalición luego del 13 de marzo. Yo no estoy buscando ser una especia de llanero solitario en el Senado. Si ganamos, hemos prometido un gobierno de coalición.
¿Ya hizo la solicitud ante el CNE?
Sí, ya la presentamos. En este caso rogaría algo de celeridad. Yo estaré sujeto a lo que diga el Consejo y me coloco en manos de ellos. Ojalá lo resuelvan rápido.
¿Quién le dio el aval para aspirar al Congreso?
El aval me lo dio Oxígeno Verde, ese es el problema. También por este partido están Sergio Fajardo entonces dicen que el problema es igual y no, porque él no se ha inscrito. Va a tener aval seguramente de otro partido. En mi caso, me inscribí y venció el término para la modificación de las listas. De alguna manera estoy un poco preso de esta situación. Uno se imagina de todo en una campaña, pero realmente la imaginación no me dio para una situación tan confusa como esta. 
Si es CNE le dice que 'no', ¿usted retira su candidatura?
Es que esto es un contrasentido. ¿Cómo es posible que el cabeza de lista de una coalición no pueda hacer política el elegido en una consulta popular? Es una candidatura de un nunca entonces yo sería un extraterrestre sin poder mencionar al candidato de la coalición. Además, a la única persona que podría apoyar, si presenta su candidatura, porque ella todavía no se ha inscrito, sería a la doctora Ingrid y francamente yo tengo diferencias con la forma como se ha manejado. Yo creo que esto debió haber tenido una solución en ese ambiente de unidad, con confrontación, claro, eso está bien. Pero el tema de la corrupción no puede ser tratado como un blanco y negro, una posición maniquea que termina hiriendo más a la sociedad. De hecho, después de la crisis la misma coalición dictó normas explícitas sobre las adhesiones, esa es la solución.
En teoría los candidatos presidenciales apoyarían el 13 de marzo a sus candidatos al Congreso. No creo que Ingrid lo vaya a apoyar a usted que es miembro de una coalición que ella ya no quiere...
En efecto los candidatos (presidenciales) de la coalición tendrían que abstenerse de apoyarme a mí. Es una cosa absolutamente insólita. Yo creo que esto no había ocurrido en la historia de este país. 
Cuando se realizó el debate de EL TIEMPO y Semana, ¿usted se sorprendió cuando Betancourt le dijo a Gaviria que 'no trajera los lobos a donde estaban las ovejas'?
Sí, yo me sorprendí. Y la idea tiene determinada validez, yo entiendo que ella sea sensible al tema de la corrupción y no quiere que la coalición termine contaminada por la presencia de políticos tradiciones que a veces se les califica de corruptos sin necesariamente serlo. El tema es válido, lo que siento es que pudo haber sido tramitado y corregido a tiempo. Pero yo creo que esto no hace ningún bien porque cuando uno dispara con regadera y descalifica a todos por corruptos, quienes se benefician son los corruptos porque el argumento pierde fuerza. Ese camino no es constructivo. 
Cómo explicar que usted encabece la lista de la Coalición Centro Esperanza, pero allí también allá otra lista, la del Nuevo Liberalismo. ¿Por qué esa fractura?
Yo siempre pensé que lo ideal era una sola lista. En el Nuevo Liberalismo lo que dijeron es que querían darle prioridad a la configuración del partido. Yo creo que la única controversia real y central es que los colombianos quieren un cambio y una solución desde el centro, desde la racionalidad y no desde la emoción y el odio.

Ingrid llegó hace pocos días como candidata a la coalición y sacudió todo...
Yo hace unos años estuve organizando con varios compañeros la Coalición de la Esperanza y estoy comprometido ahí y ese es el juramento que he hecho. Voy a apoyar al que gane en esa consulta. Entonces ahora resulta que como mi aval pertenece a un partido que está por fuera entonces si aplicamos la ley de manera estricta, yo no puedo apoyar a lo que prometí apoyar. Por eso quiero que el Consejo Nacional Electoral me diga para evitar esta aberración política que sería una especie de cabeza de lista mudo. Un señor que que es cabeza de lista y no puede hablar de candidatos presidenciales. Yo creo que esto se hubiera podido tramitar de manera más razonada y espero que esto se corrija. Veo a la coalición vigorosa y tratando de superar este mar de turbulencias. 
¿Usted cree que la coalición se murió luego de lo que ocurrió?
Yo creo que esto se puede recomponer con buena voluntad. Incluso, yo no puedo ser candidato al Senado, perfecto, yo sigo apoyando la coalición, ese es mi compromiso y yo no me puedo salir de ese compromiso. Así sea sin candidatura yo seguiré porque me parece que la mejor respuesta para Colombia es esta. Es un momento desventurado pero logramos salir adelante.

¿Los votantes suyos no estarán sufriendo al ver lo que sucede en la colectividad?
Yo si confío en que esa coalición supere estas circunstancias y recupere ese mensaje de unión. Claro que tenemos diferencias pero las hemos tramitado de manera razonable. Tenemos que aprender a discutir y tenemos unos criterios éticos, allí es donde debemos concurrir, con el entendido de que vamos por la misma línea.
¿Cómo confiar en que el miembro de la coalición que gane sea apoyado por los otros, si lo que hemos visto es una enorme pelea entre ustedes mismos?
Esa es la clave de la coalición. Que es de centro, que está dirigida por el camino de la democracia genuina. El centro es el que ha hecho 3 siglos de progreso de la humanidad. Pero si damos mal ejemplo, la gente tiene derecho a duda si vamos a cumplir. Gustavo Petro y Álvaro Uribe los deben estar viendo a ustedes muertos de la risa...
Claro, no me queda duda. Ni que estuviéramos trabajando para ellos. Es una locura.

¿Ustedes aún aspiran a pasar a segunda vuelta?
Yo creo que realmente hay un conjunto de fuerzas políticas pero hay que hacerlo bien. Aún hay oportunidad de corregir estas circunstancias tan desafortunadas.

¿Usted cree que Ingrid Betancourt pueda obtener 5 millones de votos para pasar a segunda vuelta?
No entremos en eso. Que las urnas hablen. Parte de lo que nos está pasando es que tenemos que permitir que los electores escojan. Si un señor recibió unas adhesiones que son reprochables, hay que darle espacio al elector. No somos un núcleo cerrado. El elector también pesa, ellos tendrán la última voz.";Partidos politicos;31/1/2022;https://www.eltiempo.com/politica/partidos-politicos/humberto-de-la-calle-habla-sobre-la-coalicion-centro-esperanza-elecciones-648502;El tiempo;Verdadera;;
2;Ingrid Betancourt se postula a la presidencia de Colombia;Ingrid Betancourt, excongresista y quien fue mantenida como rehén por la guerrilla y llegó a simbolizar tanto la brutalidad del largo conflicto en Colombia como de los esfuerzos de reconciliación del país, se postulará a la presidencia, dijo el martes. Betancourt entra en una campaña presidencial muy abierta en un momento en el que Colombia está en una determinante encrucijada política y social. Cuando fue secuestrada hace 20 años, Betancourt estaba haciendo campaña para el mismo cargo. Ahora, dijo, el país se enfrenta al mismo “sistema corrupto” y “maquinarias politiqueras” que ella combatió entonces. “Hoy estoy aquí para terminar lo que empecé”, dijo en un estrado en un hotel del centro de Bogotá, la capital del país, acompañada por sus aliados. Betancourt, quien fue capturada en 2002 y retenida durante más de seis años por la mayor fuerza guerrillera del país, las Fuerzas Armadas Revolucionarias de Colombia, anunció su candidatura a las elecciones de mayo mientras el país enfrenta enormes desafío. Tras más de 50 años de guerra, el gobierno y el grupo rebelde, conocido como las Farc, firmaron un acuerdo de paz en 2016. Pero, desde entonces, una oleada de otros grupos armados ha irrumpido en el vacío y seguido combatiendo. La violencia ha aumentado en algunas zonas rurales y los críticos han culpado al gobierno por no invertir lo suficiente para abordar la desigualdad y la pobreza que han contribuido a impusar la guerra, como se había comprometido a hacer en el acuerdo de paz. Muchos colombianos están hartos del statu quo político, un sentimiento que estalló en la esfera pública en mayo del año pasado, cuando miles de personas salieron a las calles durante más de un mes para protestar por las penurias que solo empeoraron con la pandemia.Tras sus años de cautiverio —en los que a veces estuvo encadenada— Betancourt ha apoyado el proceso de paz y también ha criticado a las Farc, convirtiéndose en un símbolo de los intentos nacionales de reconocer los costos de la guerra, pero también de superarla. Sergio Guzmán, un analista de Bogotá, llamó a Betancourt la “candidata de la reconciliación” del país. En una entrevista con el Times el año pasado, Betancourt calificó el acuerdo de paz como “una ventana, una oportunidad generacional, de salir de la locura violenta en la cual hemos vivido toda nuestra vida”. La cuestión, dijo Guzmán, es si eso es lo que quieren los colombianos. “Todas nuestras elecciones han sido miedo, esperanza y odio”, continuó. “Ninguna elección se ha disputado sobre la base de la compasión y la reconciliación”. Hay un descontento generalizado con el actual presidente, Iván Duque, quien es un producto del poder político tradicional de derecha del país, mientras que un populista de izquierda, Gustavo Petro, lidera las encuestas en medio de una ola izquierdista y opuesta a quienes están en el poder que se extiende por América Latina. “¿Puede Ingrid convertirse en un bálsamo para esas emociones negativas predominantes que estamos sintiendo en este momento?”, dijo Guzmán. “No lo sé. Esa es una de las cosas que nos va a decir su candidatura”. Pero para ganar impulso entre los votantes, dijo, “tiene que vender la idea de que la reconciliación es mejor que el populismo”. Aunque Betancourt es ampliamente conocida en todo el país, una victoria en mayo no es ni mucho menos segura.;Presidencia de Colombia;18/1/2022;https://www.nytimes.com/es/2022/01/18/espanol/colombia-ingrid-betancourt.html;New York Times;Verdadera;;
3;Chile como espejo político de Colombia en 2022;Ni Duque es Piñera, ni Petro es Boric y no tendremos un Kast, pero los parecidos son muy útiles para pensar el caso colombiano. Hace dos años escribí “Cinco retos intelectuales de la política en 2020 pensando en la década: dos del gobierno Duque, uno de la izquierda y uno del uribismo, y otro común”. El balance es más bien flojo. Nos rajamos en el primer reto propuesto para el gobierno Duque: “reinventar la gobernabilidad con representación y sin mermelada, si cesa en su actual ensayo sin lo uno y sin lo otro”. No hay un discurso coherente para explicar lo que pasó, que pudo ser distinto desde el comienzo, y más bien será un flanco débil en la campaña. El segundo reto era más complejo: abordar “la pregunta de si el presidente Duque responde i) solamente por su gobierno, o ii) también por la sostenibilidad política y social del modelo”. La mitad del país cree que el presidente Duque le entregará el poder a Petro y que vendrá un cambio de “modelo”. La perspectiva se parece a Chile: una presidenta de centroizquierda (Michelle Bachelet) le entrega el gobierno a un presidente de centroderecha (Piñera), que le traspasa el poder a un mandatario de izquierda dura (Boric). Gabriel Boric se posesionará el 11 de marzo y desde los anuncios de gabinete tendrá bastante atención colombiana. Con las similitudes del estallido social y el desencanto de buena parte de la centroderecha con el presidente, tal vez haya “debate intelectual” sobre la naturaleza de la “transición” de Duque: si de “agotamiento” o de “renovación” política del sistema. El reto común para la izquierda y la derecha consistía en “pensar las coaliciones o concertaciones en su orilla más allá de lo electoral”, y estaba estrechamente relacionado con un desafío (cuarto) del espectro de la izquierda: “establecer los límites entre la izquierda radical y la centroizquierda en lo ideológico y lo programático”. Hay que reconocer que la centroizquierda ha avanzado en esto más que ninguna otra coalición, mientras, por ejemplo, el Pacto Histórico ha desdibujado o revelado su naturaleza con alianzas o decisiones oportunistas, y Equipo por Colombia ha preferido no asociarse con el Centro Democrático y todavía no saca un documento programático. El quinto desafío planteado se refería al uribismo: “pensar la transición y su futuro sin Uribe como líder actuante”. En narrativas hay más antiuribismo que antipetrismo, especialmente en las nuevas generaciones, y el vaticinio es un encogimiento electoral. “De victoria en victoria hasta la derrota final”, parafraseando a Winston Churchill, parece hasta ahora la parábola. Así, de los cinco retos de hace dos años se podría insistir en el de sustentar y diseñar las coaliciones más allá de la coyuntura electoral. La experiencia chilena les sirve a todos para aprender (y decidir emular o evitar repetir). Será inevitable el sesgo de los que deseen que salga mal o bien lo de Chile, pero es de esperar que cierta objetividad se abra paso. En la reflexión política estratégica, filosófica, sociológica, histórica, crítica y autocrítica, así como en el debate programático y en la institucionalidad de los partidos, en general nos lleva ventaja Chile. Y, tal vez como nunca, el presidente chileno incidirá en el comportamiento electoral colombiano.;Presidencia de Colombia;10/1/2022;https://www.elespectador.com/opinion/columnistas/daniel-mera-villamizar/chile-como-espejo-politico-de-colombia-en-2022/;El Espectador;Verdadera;;
4;Presidente Iván Duque confirmó que habló con Zuluaga tras decisión de no pertenecer al Equipo por Colombia;"Recientemente, el candidato a la Presidencia Óscar Iván Zuluaga aseguró que no formaría parte de la coalición Equipo por Colombia, lo que generó sorpresa en el mandatario colombiano Iván Duque. De hecho, algunos rumoraban que el presidente Duque había intentado gestionar con el ministro del Interior, Daniel Palacios, la entrada de Zuluaga a la misma coalición, hecho que finalmente fracasó. Sin embargo, este 30 de enero en entrevista con Noticias Caracol, el presidente finalmente se refirió a la polémica que despertó la decisión del candidato. De acuerdo con Duque, en el momento en que Óscar Iván Zuluaga se decide a lanzarse como independiente llamó al presidente para únicamente informarle sobre su nuevo camino en el proceso de las elecciones. “Él me llamó y simplemente me informó, cosa que le agradezco porque estatutariamente tengo un papel, y me dice: ‘Mire, aquí se ha tomado una decisión, vamos a proceder de esa manera’; perfecto, él es el candidato, y los candidatos tienen que saber tomar sus decisiones, pueden ser buenas, pueden ser malas, pueden ser regulares”, dijo. Además, aseguró que no piensa tomar partido dentro de los movimientos políticos que se tejen de cara a las elecciones, pero que tampoco va a negarse a tomar una llamada de un candidato. “¿No le paso al teléfono? Le debo pasar al teléfono: ‘Presidente, lo llamo para informarle’; perfecto, muchas gracias, que esté muy bien”, dijo. Por otra parte, afirmó que su labor como mandatario “no es estar formando coaliciones” y considera que todas las personas que están haciendo política son nombres con fuerza y conocimiento en el sector y por ende cada quien está en la capacidad de decidir cuál es su camino. “En la política siempre se presentan muchas veces situaciones donde se hacen pactos o alianzas por conveniencia y obviamente esas cosas al final siempre terminan rompiéndose. Creo que la construcción de país requiere una visión de equipo y yo creo que de verdad Colombia, cuando tiene visión de equipo y trabajamos todos con un propósito en común, las cosas salen bien”, concluyó. El insistente pedido de Álvaro Uribe al gobierno del presidente Iván Duque. En medio de la campaña electoral que se ha agitado en las últimas semanas, el expresidente Álvaro Uribe ha sido insistente con algunas propuestas de corte social que le ha venido planteando al país. Uno de los pedidos que más ha hecho Uribe, en medio de los recorrido que hace por Colombia en busca de sumar apoyos a las listas al Congreso del Centro Democrático, es que se extienda el programa de Ingreso Solidario, creado por este gobierno para atender a la población más vulnerable. “Pedirle muy respetuosamente al Gobierno nacional que en lo posible, si lo pudiera rápidamente, el ingreso solidario llegue a cinco millones de familias, esa es una gran creación del presidente Duque, debería llegarle a toda la población colombiana que está en la pobreza, pero por lo pronto que les llegue a cinco millones de familias”, manifestó Uribe desde Ibagué. Frente a los cuestionamientos que se le han hecho por el elevado costo de este programa, el expresidente manifestó que se justifica porque la “economía colombiana viene creciendo”. “La economía colombiana viene creciendo bien en los últimos meses, lo importante es que las decisiones políticas de este año no afecten ese crecimiento”, apuntó el expresidente. El punto clave de la política social del actual gobierno es el Programa de Ingreso Solidario, en el cual se otorga una transferencia monetaria a las familias más vulnerables del país, que, inicialmente, se diseñó para las personas que no estaban en ningún esquema de protección de los que tiene el Gobierno.";Partidos politicos;31/1/2022;https://www.semana.com/nacion/articulo/presidente-ivan-duque-confirmo-que-hablo-con-zuluaga-tras-decision-de-no-pertenecer-al-equipo-por-colombia/202240/;Semana;Verdadera;;
5;¿Qué cambia con la Ley de Seguridad Ciudadana sancionada este martes?;"El presidente Iván Duque sancionó en la noche de este martes la Ley de Seguridad Ciudadana que pretende agravar las conductas que afectan a todos los ciudadanos y que establece que el delincuente siempre vaya a la cárcel. La nueva norma sancionada por el mandatario señala que quien asesine a un miembro de la Fuerza Pública, a un defensor de Derechos Humanos, a un menor de edad o a un periodista recibirá la pena más alta que contempla la ley para este tipo de delitos: hasta 58,3 años de prisión.  Parte clave de la norma que entra en vigencia es que les brinda a las autoridades los instrumentos jurídicos y recursos económicos necesarios para contrarrestar la delincuencia, especialmente en las ciudades del país.Paralelo a lo anterior, establece la regulación de armas, elementos y dispositivos menos letales, al igual que la sostenibilidad del Registro de Identificación Balística. ""Esta iniciativa piensa en el ciudadano de a pie, el ciudadano que sale a coger TransMilenio, el ciudadano que sale a coger un bus público para desplazarse a su casa o trabajo, el ciudadano al que le roban el celular, el ciudadano que todos los días es víctima de un delito, brindando mayores herramientas a los jueces para sancionar a los violentos que perturban su tranquilidad”, dijo el ministro del Interior, Daniel Palacios. Explicó que la ley “pretende agravar las conductas que afectan a todos los ciudadanos y que el delincuente siempre vaya a la cárcel y no a la calle”. Por su parte, el Ministro de Justicia, Wilson Ruiz Orejuela,  aseguró que la nueva norma es implacable contra la delincuencia.";Seguridad nacional;26/1/2022;https://www.eltiempo.com/politica/gobierno/ley-de-seguridad-ciudadana-sancionada-por-presidente-duque-647330;El tiempo;Verdadera;;
6;Tras propuesta de Petro, María Fernanda Cabal pide reunirse con petroleros;"En una carta enviada a Francisco José Lloreda, presidente de la Asociación Colombiana de Petróleo, la senadora María Fernanda Cabal pidió una reunión urgente con la junta directiva para analizar lo que está pasando con el sector. De acuerdo con la senadora Cabal,  quien aspira nuevamente al Congreso de la República, “no es coincidencia que tras las propuestas del precandidato presidencial Gustavo Petro, los bonos de Ecopetrol estén sufriendo algunas de las mayores pérdidas entre las compañías petroleras de mercados emergentes desde agosto”. ""Con verdadera preocupación, registramos en el país el impacto negativo que ha tenido en los mercados, las declaraciones irresponsables e irracionales del señor Gustavo Petro, que, en reiteradas ocasiones, ha afirmado que si llega a la presidencia de la República, suspenderá todo proceso de exploración petrolera en el país”, dice la carta. En la misiva, Cabal señala que el precandidato Petro “no explica cómo enfrentará la desaparición de la inversión extranjera la salida de las compañías,que hacen exploración y explotación de petróleo y el déficit fiscal que registraría Colombia”. “Sin Petróleo, se verían afectadas la transición energética y las importaciones en más de 15.000 mil millones de dólares. Lo anterior, como lo señaló el expresidente de Ecopetrol, Juan Carlos Echeverry, se traduciría en pobreza, para un país que ya va sufriendo los estragos de sectores de izquierda política, que no les importa llevarnos a una situación como la de Venezuela”, añadió Cabal. El precandidato presidencial Gustavo Petro afirmó que él no ha dicho cero petróleo para el 2022: “He dicho que habrá una transición que comienza porque cesan las firmas de nuevos contratos de exploración. lo que significa que se tendrían 12 años para una transición energética”. ";Partidos politicos;1/2/2022;https://www.lafm.com.co/politica/tras-protestas-de-petro-maria-fernanda-cabal-pide-reunirse-con-petroleros;La F.M;Verdadera;;
7;¿Qué es la polémica ‘cláusula Petro’?;Según el abogado, columnista y profesor universitario, Ramiro Bejarano, algunos sectores han puesto en marcha la 'cláusula Petro' en grandes contratos. Gran controversia ha causado la llamada ‘cláusula Petro’ después de que el abogado, columnista y profesor universitario, Ramiro Bejarano, revelara detalles sobre esta estipulación. Según asegura el experto en una columna, algunos sectores han puesto en marcha este apartado en grandes contratos. “En algunos sectores económicos y empresariales, de los que andan temblando ante la eventualidad de que Petro llegue a la Presidencia, se ha puesto en marcha la estrategia sucia de incluir una estipulación en los grandes contratos que se vienen suscribiendo, por medio de la cual las partes, dizque en ejercicio de la autonomía de la voluntad, pactan que el contrato solo empezaría a ejecutarse si Petro resulta vencido en las elecciones presidenciales, o que se deje sin efectos si llega a convertirse en presidente. A este esperpento negocial ya le tienen nombre: la cláusula Petro”, señaló el docente en su columna en El Espectador. Además, dicha cláusula ha sido difundida en las redes sociales, por lo cual, miles de internautas cuestionan que la situación presuntamente estaría inclinando las votaciones para las próximas elecciones presidenciales. Está es la llamada ‘cláusula Petro’: “DECIMA: CONDICIÓN RESOLUTORIA. - Manifiestan las partes contratantes que el presente contrato queda sujeto a la condición de que el doctor GUSTAVO PETRO no sea elegido presidente para el período 2022-2026. En el evento de ser elegido, el presente contrato quedará resuelto de ipso-facto, quedando las partes liberadas de las obligaciones aquí contraídas, volviendo a su estado precontractual”. Según afirmó Andrés Henao, miembro de la Federación Colombiana de Lonjas de Propiedad Raíz (Fedelonjas), está no sería la primera vez en que se conoce un hecho que involucra este tipo de resoluciones en contratos durante época electoral. “También ocurrió con las elecciones pasadas a Presidencia, incluso en las de Alcaldía que ganó Petro, cuando se habló de esa cláusula con el POT. Esta existe o se ha hablado de ella hace muchísimos años”, dijo. Estas declaraciones fueron respaldadas por las entregadas por el profesor Bejarano en una entrevista para el programa Vicky en Semana, pues aseguró que la ‘cláusula Petro’ se vendría implementando desde el 2018, principalmente en negocios inmobiliarios. “Esa cláusula ha vuelto ahora y se está ejecutando. Yo no me la he inventado, incluso me llegó hace un rato un correo enviándome el texto de una de esas cláusulas. De manera que a mí me parece peligroso, además de ilegal”, indicó. Finalmente, agregó que este tipo de apartados en los contratos no son admisibles pues podrían generar “pánico económico”, llevando a que el acuerdo no se lleve a cabo. “En el fondo involucra una especie de constreñimiento al elector, porque de alguna forma se está introduciendo un mecanismo con base en el cual, si una persona llega a ser presidente, entonces ese contrato no se ejecutaría, lo cual obviamente se convierte en una espada de Damocles para quien piense lo contrario”, puntualizó Bejarano a ese medio de comunicación.;Presidencia de Colombia;1/2/2022;https://www.colombia.com/actualidad/politica/clausula-petro-de-que-trata-y-por-que-es-polemica-338260;Colombia.com;Verdadera;;
8;Gustavo Bolívar pide al expresidente Cesar Gaviria ingresar al Pacto Histórico;"Este martes, el senador Gustavo Bolívar y candidato al senado de la República por el Pacto Histórico, le envió un claro mensaje al presidente del partido Liberal César Gaviria, para que esa colectividad que preside ingrese a la alianza de la izquierda colombiana. De acuerdo con Bolívar, hay bases del Partido Liberal que se han venido acercando al Pacto Histórico, ""porque sienten que nuestro programa representa la lucha histórica por las reivindicaciones  sociales, que hace mucho rato abandonó el partido"". ""Cuando se unieron en el 2018 con Uribe para apoyar al presidente Iván Duque, las bases de sintieron traicionadas y hoy están retomando la senda también varios congresistas liberales como Luis Fernando Velasco, que quieren estar en la consulta del Pacto Histórico"", dijo Bolívar.  En ese sentido, el congresista indicó que ""el expresidente Gaviria tiene dos caminos: o permitir que su partido se siga haciendo pedazos, o retomar ese prestigio histórico del Partido Liberal y unirse al Pacto Histórico. Poner un candidato dentro de la consulta con posibilidades de ganarle a Gustavo Petro y retomar la senda de la lucha social, de la lucha por la inclusión que siempre fue una característica del Partido Liberal"", puntualizó. Este llamado, confirmaría los rumores de acercamiento o coqueteo, que miembros del Pacto Histórico le han hecho al expresidente César Gaviria. Cabe mencionar que algunas fuentes consultadas por RCN Radio, señalaron que ""Gaviria le habría pedido a Gustavo Petro elegir a María Emma Mejía como su fórmula vicepresidencial"". María Emma Mejía se convirtió en 1993 en la primera mujer Embajadora de Colombia en España, durante el gobierno de Gaviria. Entre tanto, en 1998 fue fórmula vicepresidencial de Horacio Serpa, quien perdió la Presidencia con Andrés Pastrana.";Presidencia de Colombia;1/2/2022;https://www.rcnradio.com/politica/gustavo-bolivar-pide-al-expresidente-cesar-gaviria-ingresar-al-pacto-historico;R.C.N;Verdadera;;
9;Duque confirma colaboración con EE.UU. en casos de migrantes venezolanos deportados;"El presidente Iván Duque confirmó este miércoles que Colombia sí está adelantando colaboraciones con Estados Unidos para recibir a migrantes venezolanos que sean deportados de ese país, sin embargo, aclaró que estos deben cumplir con un requisito específico. Según lo explicado por Duque, el gobierno colombiano recibirá a aquellos ciudadanos venezolanos que vivían en Colombia bajo el estatus migratorio anterior y que, por estar ilegalmente en EE.UU., ahora serán deportados. Es decir, no son aquellos que han recibido la nueva tarjeta que les otorga el Estatuto de Protección Temporal. ""Son personas que tenían estatus migratorio en nuestro país y que aprovechándolo trataron de ingresar ilegalmente a territorio de Estados Unidos, por eso se están deportando a Colombia. Ninguna de esas personas tenía Estatus de Protección Temporal, sino el anterior"", detalló. Duque aseguró que Colombia conoce que hay ciudadanos venezolanos que recibieron el Estatuto implementando en el actual gobierno que están siendo deportados, pero manifestó que en esos casos aún no hay acuerdos con EE.UU. para recibirlos.  ""Ninguna de las personas que hoy tiene el Estatus de Protección Temporal o ha recibido esa tarjeta está incluido dentro de ese grupo de deportaciones, obviamente es un tema que se tiene que manejar"", indicó. El Mandatario comentó, además, que el Departamento de Seguridad Nacional de Estados Unidos está aplicando la medida llamada 'Título 42', política que fue implementada por la administración de Donald Trump, que permite expulsiones inmediatas por cuenta de la pandemia al argumentar razones de salud pública. Entre tanto, enfatizó en que se requiere el apoyo de otros países para continuar haciéndole frente a la situación humanitaria de Venezuela por la que, hasta ahora, Colombia ha recibido a más de 1,8 millones de migrantes. ""El mundo tiene que actuar con solidaridad frente a esta situación humanitaria que se vive en Venezuela, Colombia ha dado un mensaje al mundo recibiendo 1.8 millones de migrantes con el Estatuto y espero que otros países puedan seguir dando esa pauta"", precisó.";Presidencia de Colombia;1/2/2022;https://www.elpais.com.co/colombia/duque-confirma-colaboracion-con-ee-uu-en-casos-de-migrantes-venezolanos-deportados.html;El país - Cali;Verdadera;;
10;EE.UU. está deportando venezolanos a Colombia;"El presidente de la República, Iván Duque, reconoció que desde Estados Unidos se han deportado ciudadanos venezolanos hacia Colombia. Sin embargo, el mandatario aclaró que no se trata de personas que tengan el actual Estatuto Temporal de Protección al Migrante, sino de ciudadanos regularizados bajo la normatividad anterior. Por ahora no se tiene una cifra exacta de ciudadanos venezolanos que hayan sido deportados a Colombia, ni tampoco se conoce con precisión la fecha en la que habrían iniciado tales deportaciones, por lo que se espera que desde el Gobierno se dé claridad. ""Las deportaciones se están tratando de personas que tenían un estatus migratorio en nuestro país y que, aprovechando ese estatus, trataron de entrar ilegalmente a territorio de los Estados Unidos, por eso están siendo deportados. Muy importante decir que ninguna de esas personas tenía Estatus de Protección Temporal, sino que tenían el estatus migratorio anterior"", explicó Duque. En ese sentido, el mandatario aclaró que ""ninguna de las personas que hoy tiene el Estatus de Protección Temporal o que ya recibió esa tarjeta, está incluido dentro de ese grupo deportaciones"".En diciembre de 2021, el Ministerio de Relaciones Exteriores reveló que se estaba estudiando la posibilidad de aceptar la deportación desde Estados Unidos, de ciudadanos venezolanos regularizados. La discusión se centró, en su momento, en que aplicaría para quienes fueron retenidos queriendo cruzar de manera irregular hacia ese país. Pese a que en su momento Cancillería señaló que no se había establecido el número de ciudadanos que serían deportados, al tiempo que negó que esto ocurriera en los meses de enero y febrero de 2022, medios extranjeros aseguran que las deportaciones ya habrían empezado; sin embargo, no se tiene una cifra exacta de los ciudadanos que habrían llegado a Colombia. Entre tanto, el presidente Duque hizo un llamado a los países receptores de migrantes venezolanos a actuar con solidaridad, recordando que son personas que huyen de la difícil situación humanitaria que se vive en ese país. ""Yo espero que otros países del mundo también puedan seguir con el ejemplo que ha dado Colombia, porque son personas que están huyendo del oprobio, de la mayor violación flagrante Derechos Humanos que haya visto el continente en mucho tiempo. Nosotros colaboramos con las autoridades norteamericanas en estos casos, pero también hago un llamado a que todos los países y esencialmente a los países más poderosos, a que en el caso los venezolanos también puedan ser generosos"", manifestó. ";Presidencia de Colombia;1/2/2022;https://www.lafm.com.co/colombia/eeuu-esta-deportando-venezolanos-colombia-duque;La F.M;Verdadera;;
